,Erythroid3_5_corr,Erythroid3_5_pval,Erythroid3_5_qval,Erythroid3_5_ci_low,Erythroid3_5_ci_high,gene_annotation
ENSMUSG00000029613,0.7388961128467912,0.0,0.0,0.7359031531062191,0.7418601978572515,Eif2ak1
ENSMUSG00000021361,0.7350966937473986,0.0,0.0,0.7320668928844163,0.7380974140344391,Tmem14c
ENSMUSG00000006235,0.7232791575346433,0.0,0.0,0.7201359960007037,0.7263926331420749,Epor
ENSMUSG00000027763,0.7230944044500065,0.0,0.0,0.7199494854132412,0.7262096285126778,Mbnl1
ENSMUSG00000038683,0.7209391435893379,0.0,0.0,0.7177737557351465,0.724074731864445,Pak1ip1
ENSMUSG00000025573,0.7198104907868267,0.0,0.0,0.7166344086185601,0.7229567192874433,6030468B19Rik
ENSMUSG00000032456,0.7185680220847436,0.0,0.0,0.7153801867651608,0.721725944741226,Nmnat3
ENSMUSG00000037336,0.7173973337609396,0.0,0.0,0.714198443093722,0.7205662567020954,Mfsd2b
ENSMUSG00000025889,0.7168581612719532,0.0,0.0,0.7136541850849185,0.7200321445439392,Snca
ENSMUSG00000026815,0.7151527339502781,0.0,0.0,0.7119326974987411,0.7183426985210216,Gfi1b
ENSMUSG00000030000,0.7144330815621993,0.0,0.0,0.7112062796471766,0.7176297785970587,Add2
ENSMUSG00000054342,0.7129645982535253,0.0,0.0,0.7097240124806814,0.7161750124020463,Kcnn4
ENSMUSG00000041528,0.7116739222534754,0.0,0.0,0.7084212452949781,0.7148963695806717,Rnf123
ENSMUSG00000001014,0.710950286513069,0.0,0.0,0.7076908401572906,0.7141794709830402,Icam4
ENSMUSG00000033386,0.707688878423803,0.0,0.0,0.7043990090229527,0.7109483429516398,Frrs1
ENSMUSG00000031974,0.7074781331465678,0.0,0.0,0.7041863027406157,0.7107395495738804,Abcb10
ENSMUSG00000090523,0.7065790393857404,0.0,0.0,0.7032788494633164,0.7098487766647984,Gypc
ENSMUSG00000028124,0.7051423741307254,0.0,0.0,0.7018288488272634,0.7084253856203876,Gclm
ENSMUSG00000034041,0.7047204852441206,0.0,0.0,0.7014030491089548,0.7080073897451051,Lyl1
ENSMUSG00000020832,0.7040868140476315,0.0,0.0,0.7007635083471045,0.7073795614697144,Eral1
ENSMUSG00000034663,0.7038029930973615,0.0,0.0,0.7004770601540828,0.7070983558755963,Bmp2k
ENSMUSG00000054191,0.7007820887427938,0.0,0.0,0.6974282586238967,0.7041052239911586,Klf1
ENSMUSG00000028644,0.7006369776178398,0.0,0.0,0.6972818104954848,0.7039614439625982,Ermap
ENSMUSG00000005580,0.6996904096772099,0.0,0.0,0.6963265280796869,0.703023552151898,Adcy9
ENSMUSG00000028899,0.6974886452091307,0.0,0.0,0.6941045394083799,0.7008419239457081,Taf12
ENSMUSG00000023926,0.6971903699612102,0.0,0.0,0.693803529326704,0.7005463717524623,Rhag
ENSMUSG00000031543,0.6963082541911403,0.0,0.0,0.6929133325157021,0.6996723023753991,Ank1
ENSMUSG00000000244,0.6948753604245662,0.0,0.0,0.6914673341049686,0.6982524575677315,Tspan32
ENSMUSG00000078350,0.6947202694130893,0.0,0.0,0.6913108263341342,0.6980987773326661,Smim1
ENSMUSG00000022742,0.6943128105664822,0.0,0.0,0.6908996468675014,0.6976950234286573,Cpox
ENSMUSG00000040466,0.6890425201314967,0.0,0.0,0.6855814309343617,0.6924724610636592,Blvrb
ENSMUSG00000042453,0.6874247406691895,0.0,0.0,0.683949014259536,0.6908692601969953,Reln
ENSMUSG00000084796,0.6870948298976188,0.0,0.0,0.6836161228209214,0.6905423182529631,Mir142hg
ENSMUSG00000050965,0.6840461772985489,0.0,0.0,0.6805399948413007,0.6875210334524275,Prkca
ENSMUSG00000029866,0.6819053159532402,0.0,0.0,0.6783799132741988,0.6853993187445677,Kel
ENSMUSG00000021061,0.6813674107660077,0.0,0.0,0.6778371884627094,0.6848662149469587,Sptb
ENSMUSG00000070803,0.6799457752720701,0.0,0.0,0.6764028336520684,0.6834572510671094,Cited4
ENSMUSG00000028717,0.6798544273777581,0.0,0.0,0.6763106693906011,0.6833667164990782,Tal1
ENSMUSG00000063856,0.677832441489223,0.0,0.0,0.6742706416214337,0.6813627059308173,Gpx1
ENSMUSG00000008843,0.6777739720252243,0.0,0.0,0.6742116512517614,0.6813047554690871,Cldn13
ENSMUSG00000096982,0.6759055427538643,0.0,0.0,0.672326600039395,0.6794528879437061,Redrum
ENSMUSG00000001542,0.6755043233578357,0.0,0.0,0.6719218173646493,0.6790552190593845,Ell2
ENSMUSG00000035021,0.6733156053357751,0.0,0.0,0.6697136987520901,0.6768858329695273,Baz1a
ENSMUSG00000047181,0.6731329492078575,0.0,0.0,0.6695294264567877,0.6767047873546005,Samd14
ENSMUSG00000027074,0.6703442211087801,0.0,0.0,0.6667160783769107,0.6739405943454451,Slc43a3
ENSMUSG00000049687,0.668936892130652,0.0,0.0,0.6652963642014891,0.6725456087473345,Fam109b
ENSMUSG00000032126,0.6667703483772889,0.0,0.0,0.6631108052478143,0.67039801715464,Hmbs
ENSMUSG00000019838,0.6656804511636616,0.0,0.0,0.6620113658751555,0.6693176309988191,Slc16a10
ENSMUSG00000050549,0.6645860141177261,0.0,0.0,0.6609073628125129,0.6682327291497232,5730508B09Rik
ENSMUSG00000002997,0.6643623224811366,0.0,0.0,0.6606817179405298,0.6680109844998838,Prkar2b
ENSMUSG00000026532,0.6628904072295608,0.0,0.0,0.659196966775497,0.6665518644728786,Spta1
ENSMUSG00000035247,0.6612285675663319,0.0,0.0,0.657520669564305,0.6649044373098467,Hectd1
ENSMUSG00000061436,0.6581049832126722,0.0,0.0,0.6543700102245903,0.6618078458209065,Hipk2
ENSMUSG00000027562,0.6579119280762703,0.0,0.0,0.6541752859563942,0.6616164548497017,Car2
ENSMUSG00000023216,0.6579002412987122,0.0,0.0,0.6541634981522454,0.6616048687984829,Epb42
ENSMUSG00000051839,0.650861190912873,0.0,0.0,0.6470639283480554,0.6546261653879275,Gypa
ENSMUSG00000005161,0.6470114479613276,0.0,0.0,0.6431813651200592,0.6508091554578737,Prdx2
ENSMUSG00000028825,0.6466223134579435,0.0,0.0,0.64278892408135,0.6504233189460863,Rhd
ENSMUSG00000078621,0.643619645645653,0.0,0.0,0.6397608098053128,0.6474460333699293,Hbb-bh2
ENSMUSG00000029752,0.6432105106343743,0.0,0.0,0.6393482168047137,0.6470403478287874,Asns
ENSMUSG00000058794,0.6421225299366193,0.0,0.0,0.6382510513677729,0.6459615294862425,Nfe2
ENSMUSG00000028243,0.6412920808707275,0.0,0.0,0.6374136022300513,0.6451380636708081,Ubxn2b
ENSMUSG00000034248,0.6393188735679168,0.0,0.0,0.6354237989993292,0.6431814132426111,Slc25a37
ENSMUSG00000033751,0.6384347305678983,0.0,0.0,0.6345322365768093,0.6423046725835929,Gadd45gip1
ENSMUSG00000000253,0.6346642133497837,0.0,0.0,0.6307301950638756,0.6385656097032973,Gmpr
ENSMUSG00000073938,0.6342262509168813,0.0,0.0,0.6302885831863119,0.6381312888918113,Olfr632
ENSMUSG00000026614,0.6341039980747898,0.0,0.0,0.6301653120930828,0.638010052128294,Slc30a10
ENSMUSG00000001348,0.6338227118114701,0.0,0.0,0.6298816837338357,0.6377311029807283,Acp5
ENSMUSG00000028669,0.6327047281471505,0.0,0.0,0.628754401705021,0.6366223981429079,Pithd1
ENSMUSG00000073063,0.6322825431974828,0.0,0.0,0.6283287097264316,0.6362037129502811,Hbq1b
ENSMUSG00000073400,0.631855077100165,0.0,0.0,0.6278976951428299,0.635779788035697,Trim10
ENSMUSG00000052305,0.6310827449581623,0.0,0.0,0.6271189578634431,0.6350138479864087,Hbb-bs
ENSMUSG00000032131,0.6310191817922259,0.0,0.0,0.6270548679056853,0.6349508105473746,Abcg4
ENSMUSG00000028332,0.6299463990625129,0.0,0.0,0.6259732023818746,0.6338868928371806,Hemgn
ENSMUSG00000027333,0.6290312804898819,0.0,0.0,0.6250505185792576,0.632979324628163,Smox
ENSMUSG00000032028,0.6280750192490464,0.0,0.0,0.6240863638697995,0.6320309416118499,Nxpe2
ENSMUSG00000042770,0.6251278981828609,0.0,0.0,0.6211149921620457,0.6291080260697426,Hebp1
ENSMUSG00000036825,0.6249704906407233,0.0,0.0,0.6209562926236801,0.6289519081930753,Ssx2ip
ENSMUSG00000000326,0.6246623994228699,0.0,0.0,0.620645673555092,0.6286463402871437,Comt
ENSMUSG00000028684,0.6241927767996366,0.0,0.0,0.6201722001612241,0.6281805615749482,Urod
ENSMUSG00000060032,0.6201006595645067,0.0,0.0,0.6160466527050272,0.6241218177916628,H2afj
ENSMUSG00000104818,0.6198734173320904,0.0,0.0,0.6158175605535695,0.6238964224832804,Gm43661
ENSMUSG00000021102,0.617892942597835,0.0,0.0,0.61382099233082,0.6219320158344028,Glrx5
ENSMUSG00000026311,0.6173573726022714,0.0,0.0,0.6132810792004764,0.6214007823191344,Asb1
ENSMUSG00000034664,0.6169555719365852,0.0,0.0,0.6128760226857722,0.621002232570114,Itga2b
ENSMUSG00000054693,0.6155941421924894,0.0,0.0,0.6115035770185182,0.6196518024189875,Adam10
ENSMUSG00000027495,0.6140934287900026,0.0,0.0,0.6099907492076656,0.6181631861066621,Fam210b
ENSMUSG00000018659,0.6114979129315622,0.0,0.0,0.6073743518123539,0.6155885235176862,Pnpo
ENSMUSG00000029802,0.6109939892359317,0.0,0.0,0.606866384301743,0.6150886383957611,Abcg2
ENSMUSG00000059895,0.6097529914989377,0.0,0.0,0.6056154423599602,0.6138575722975106,Ptp4a3
ENSMUSG00000021693,0.609316972480382,0.0,0.0,0.6051759343439999,0.6134250379765086,Kif2a
ENSMUSG00000024588,0.6091786622048119,0.0,0.0,0.6050365178454752,0.6132878325724302,Fech
ENSMUSG00000039361,0.6064111481802258,0.0,0.0,0.6022469222853769,0.6105423743044235,Picalm
ENSMUSG00000006574,0.6047764003090845,0.0,0.0,0.6005991788078571,0.6089206079397834,Slc4a1
ENSMUSG00000018654,0.5988957643724723,0.0,0.0,0.5946720874929304,0.6030863835455456,Ikzf1
ENSMUSG00000027556,0.5972217369315662,0.0,0.0,0.5929849196503638,0.601425485987851,Car1
ENSMUSG00000025572,0.5965119061623241,0.0,0.0,0.5922695282437231,0.6007212116569898,Tmc6
ENSMUSG00000020307,0.5944115721058085,0.0,0.0,0.5901527798685343,0.5986372804029528,Cdc34
ENSMUSG00000049577,0.5942648176290635,0.0,0.0,0.5900048806797499,0.5984916698842563,Zfpm1
ENSMUSG00000047037,0.5941727860897642,0.0,0.0,0.5899121314232908,0.5984003555926519,Nipa1
ENSMUSG00000040447,0.5938869095444932,0.0,0.0,0.589624026158232,0.5981167063254479,Spns2
ENSMUSG00000027510,0.592682186902969,0.0,0.0,0.5884099233067619,0.596921358093488,Rbm38
ENSMUSG00000071714,0.5924591225405452,0.0,0.0,0.5881851242346403,0.5967000274155393,Csf2rb2
ENSMUSG00000027078,0.5919804100158684,0.0,0.0,0.5877026911250157,0.5962250333269916,Ube2l6
ENSMUSG00000056234,0.5902620282011413,0.0,0.0,0.5859709789912424,0.5945199746946108,Ncoa4
ENSMUSG00000029722,0.5879507159707085,0.0,0.0,0.5836417986051019,0.5922265224396867,Agfg2
ENSMUSG00000025495,0.5861777711025176,0.0,0.0,0.5818551956137432,0.5904672305194764,Ptdss2
ENSMUSG00000029780,0.5832382982836458,0.0,0.0,0.5788931700851231,0.5875503039252493,Nt5c3
ENSMUSG00000039756,0.5816219064339008,0.0,0.0,0.5772644255516823,0.5859462623029158,Dnttip2
ENSMUSG00000024661,0.5809180416507578,0.0,0.0,0.5765551925759048,0.5852477648881964,Fth1
ENSMUSG00000070639,0.5808044336354964,0.0,0.0,0.5764407187182514,0.5851350225962294,Lrrc8b
ENSMUSG00000041237,0.5798337192261059,0.0,0.0,0.5754626131732744,0.5841716984625761,Pklr
ENSMUSG00000050106,0.5796242600387235,0.0,0.0,0.5752515607787965,0.5839638323337776,Tmc8
ENSMUSG00000034796,0.5796239471717134,0.0,0.0,0.575251245532465,0.583963521845877,Cpne7
ENSMUSG00000052217,0.5780939627466366,0.0,0.0,0.5737096412681866,0.5824451565733422,Hbb-bh1
ENSMUSG00000110206,0.5768719954848168,0.0,0.0,0.5724784157904009,0.5812324474811053,Flt3l
ENSMUSG00000041920,0.5750339605841487,0.0,0.0,0.5706264923631751,0.5794083018746816,Slc16a6
ENSMUSG00000062729,0.5739772549796864,0.0,0.0,0.569561822392998,0.5783595615316602,Ppox
ENSMUSG00000029703,0.5726069944816805,0.0,0.0,0.5681812563363627,0.5769996082465659,Lrwd1
ENSMUSG00000053799,0.5723356941528348,0.0,0.0,0.5679079185461163,0.5767303457725426,Exoc6
ENSMUSG00000016255,0.5716963962748294,0.0,0.0,0.5672638234126588,0.5760958461630663,Tubb1
ENSMUSG00000032596,0.5707297498139999,0.0,0.0,0.5662899335895423,0.5751364448254492,Uba7
ENSMUSG00000097615,0.5705039862135098,0.0,0.0,0.5660624800628018,0.5749123716021676,Gm2061
ENSMUSG00000053604,0.5703758481600552,0.0,0.0,0.5659333831482124,0.5747851926724811,Rpia
ENSMUSG00000032316,0.5703161939057554,0.0,0.0,0.565873282573545,0.5747259848624671,Clk3
ENSMUSG00000073940,0.5652588098882654,0.0,0.0,0.5607782319626329,0.5697062817436638,Hbb-bt
ENSMUSG00000020287,0.5645305101101503,0.0,0.0,0.5600445358746989,0.5689833809519947,Mpg
ENSMUSG00000022797,0.5642341774234418,0.0,0.0,0.5597460095361305,0.5686892430504895,Tfrc
ENSMUSG00000039652,0.5637785323875982,0.0,0.0,0.5592869937850692,0.5682369705224196,Cpeb3
ENSMUSG00000071713,0.5637103576831058,0.0,0.0,0.5592183149829459,0.5681693001889644,Csf2rb
ENSMUSG00000023328,0.5608154824785547,0.0,0.0,0.5563020913771597,0.5652957862415872,Ache
ENSMUSG00000068328,0.5594267961408188,0.0,0.0,0.5549032035577947,0.5639173084146786,Aup1
ENSMUSG00000034449,0.5579061211230487,0.0,0.0,0.553371386794617,0.5624077834786121,Dhrs11
ENSMUSG00000053897,0.5572418866887922,0.0,0.0,0.5527022952451022,0.5617484100100965,Slc39a8
ENSMUSG00000039956,0.5571717921538798,0.0,0.0,0.552631688495731,0.5616788281033808,Mrap
ENSMUSG00000039087,0.5570765063116819,0.0,0.0,0.5525357064585955,0.5615842390208184,Rreb1
ENSMUSG00000018001,0.5562454491471387,0.0,0.0,0.5516985823771198,0.5607592538090346,Cyth3
ENSMUSG00000095567,0.5560027600828492,0.0,0.0,0.5514541233525933,0.5605183362130065,Noc2l
ENSMUSG00000029516,0.5547456911979407,0.0,0.0,0.5501878990179145,0.5592704308595496,Cit
ENSMUSG00000069814,0.5529842811512973,0.0,0.0,0.5484136955777161,0.5575218262918709,Ccdc92b
ENSMUSG00000025648,0.5526975114348069,0.0,0.0,0.5481248469035902,0.5572371375845425,Pfkfb4
ENSMUSG00000040713,0.5505291521768115,0.0,0.0,0.54594080327306,0.5550844789701953,Creg1
ENSMUSG00000044573,0.5504020609953293,0.0,0.0,0.5458127947387214,0.5549583061367669,Acp1
ENSMUSG00000084833,0.549180002872643,0.0,0.0,0.5445819266499483,0.5537450677837439,Gm12649
ENSMUSG00000037151,0.54766683354588,0.0,0.0,0.5430578761461793,0.5522427923596946,Lrrc20
ENSMUSG00000025915,0.5472502348439255,0.0,0.0,0.5426382870203617,0.5518291876989452,Sgk3
ENSMUSG00000024997,0.5468592816971715,0.0,0.0,0.5422445296318307,0.5514410422332401,Prdx3
ENSMUSG00000039841,0.5454890302261568,0.0,0.0,0.5408644655773547,0.5500806157405426,Zfp800
ENSMUSG00000032519,0.5448745465312397,0.0,0.0,0.5402455895560121,0.5494705301023269,Slc25a38
ENSMUSG00000037904,0.5442889256037414,0.0,0.0,0.53965578727301,0.5488890960903309,Ankrd9
ENSMUSG00000028393,0.5429752139563823,0.0,0.0,0.5383327122190974,0.5475847606726632,Alad
ENSMUSG00000001786,0.5408961261359233,0.0,0.0,0.5362388525855826,0.5455204659477082,Fbxo7
ENSMUSG00000037012,0.5399607005498943,0.0,0.0,0.5352967995442968,0.5445916777864578,Hk1
ENSMUSG00000042275,0.5379648833076422,0.0,0.0,0.5332868807978463,0.5426099841343989,Pelo
ENSMUSG00000024965,0.5357104324792795,0.0,0.0,0.5310165646076365,0.5403714249467125,Fermt3
ENSMUSG00000030217,0.5342729823908706,0.0,0.0,0.5295690338600797,0.5389440730074073,Art4
ENSMUSG00000029759,0.5341341383652826,0.0,0.0,0.5294292175894314,0.5388062029464593,Pon3
ENSMUSG00000028716,0.5338399671375866,0.0,0.0,0.5291329872938108,0.538514094447557,Pdzk1ip1
ENSMUSG00000044197,0.5305493793154895,0.0,0.0,0.525819445013906,0.5352465036564921,Gpr146
ENSMUSG00000034265,0.5294321705599597,0.0,0.0,0.5246944754848946,0.534137070804265,Zdhhc14
ENSMUSG00000057388,0.5289241255544169,0.0,0.0,0.524182906780261,0.5336325564909387,Mrpl18
ENSMUSG00000054362,0.5283635714182521,0.0,0.0,0.5236184687226265,0.5330758940739485,Lexm
ENSMUSG00000024663,0.5274438400031747,0.0,0.0,0.5226923737723569,0.5321625391738729,Rab3il1
ENSMUSG00000078652,0.5265085910809699,0.0,0.0,0.5217506654499788,0.5312337630869068,Psme3
ENSMUSG00000031749,0.5253684489824137,0.0,0.0,0.5206026645176483,0.5301014965221641,St3gal2
ENSMUSG00000055609,0.5243927420528138,0.0,0.0,0.5196202458651908,0.5291325158869968,Hba-x
ENSMUSG00000025024,0.5224524789147302,0.0,0.0,0.5176666734839632,0.5272055917342594,Smndc1
ENSMUSG00000000804,0.5219459691208468,0.0,0.0,0.5171566974978123,0.5267025560642415,Usp32
ENSMUSG00000043445,0.519850523969103,0.0,0.0,0.5150469487466947,0.5246214480591503,Pgp
ENSMUSG00000027340,0.5197389092613768,0.0,0.0,0.514934573784728,0.5245105954256809,Slc23a2
ENSMUSG00000048376,0.5186562976492562,0.0,0.0,0.5138445966224499,0.5234353671904353,F2r
ENSMUSG00000096965,0.5177684983689097,0.0,0.0,0.512950768791062,0.5225536113142838,3300005D01Rik
ENSMUSG00000045160,0.5171682546117986,0.0,0.0,0.5123464550316882,0.521957447721128,Bola3
ENSMUSG00000028894,0.5169858497192292,0.0,0.0,0.5121628142737692,0.5217762818009594,Inpp5b
ENSMUSG00000038725,0.5167896528723621,0.0,0.0,0.5119652886078526,0.5215814171250376,Pkhd1l1
ENSMUSG00000098112,0.5163480593925741,0.0,0.0,0.5115207061318003,0.5211428202234275,Bin2
ENSMUSG00000028995,0.5138092530899312,0.0,0.0,0.5089647656539201,0.5186211926933387,Fam126a
ENSMUSG00000004897,0.512618256714097,0.0,0.0,0.5077657607870945,0.5174382263196811,Hdgf
ENSMUSG00000039834,0.5121839862755422,0.0,0.0,0.5073285749066794,0.5170068792600284,Zfp335
ENSMUSG00000038733,0.5110688873273734,0.0,0.0,0.5062060012739407,0.5158992756051681,Wdr26
ENSMUSG00000020834,0.5087404177969813,0.0,0.0,0.5038619767736661,0.5135864051355797,Dhrs13
ENSMUSG00000069919,0.50662567571904,0.0,0.0,0.5017331697560918,0.5114857692755722,Hba-a1
ENSMUSG00000029513,0.503905583632154,0.0,0.0,0.4989950737403754,0.5087837359314618,Prkab1
ENSMUSG00000069917,0.5037680021698867,0.0,0.0,0.4988565842494801,0.5086470653215369,Hba-a2
ENSMUSG00000027075,0.5037539217046237,0.0,0.0,0.4988424108682177,0.5086330780615378,Slc43a1
ENSMUSG00000106438,0.5029561812762621,0.0,0.0,0.49803941049749967,0.507840614048244,Gm42749
ENSMUSG00000030844,0.5014503122575205,0.0,0.0,0.4965236354361301,0.5063446826174148,Rgs10
ENSMUSG00000070284,0.4994958218755877,0.0,0.0,0.49455633265579013,0.5044030464523998,Gmppb
ENSMUSG00000024587,0.49660211465919457,0.0,0.0,0.4916437490695649,0.5015282793281595,Nars
ENSMUSG00000025499,0.4961150775941239,0.0,0.0,0.49115354584823767,0.501044419355853,Hras
ENSMUSG00000021991,0.49544686242517894,0.0,0.0,0.49048099182443367,0.5003805581455358,Cacna2d3
ENSMUSG00000027508,0.4952427230779496,0.0,0.0,0.4902755281391915,0.5001777477732998,Pag1
ENSMUSG00000082101,0.495167224872918,0.0,0.0,0.4901995402853213,0.5001027409347318,Slfn14
ENSMUSG00000017561,0.4942200429366646,0.0,0.0,0.48924622175145743,0.4991617172687643,Crlf3
ENSMUSG00000035472,0.4927531326915495,0.0,0.0,0.4877698311525185,0.49770432139389637,Slc25a21
ENSMUSG00000032698,0.49162583045916824,0.0,0.0,0.48663526275735347,0.49658431183765644,Lmo2
ENSMUSG00000028542,0.49005689203767594,0.0,0.0,0.48505623957292393,0.4950254956162465,Slc6a9
ENSMUSG00000038997,0.48854495103567525,0.0,0.0,0.48353461102630874,0.4935232788253884,Asb17
ENSMUSG00000036533,0.4859600901438012,0.0,0.0,0.4809332581467298,0.4909549739422669,Cdc42ep3
ENSMUSG00000038717,0.4855390254157375,0.0,0.0,0.4805095153145934,0.4905365979061263,Atp5l
ENSMUSG00000006024,0.4839095445512899,0.0,0.0,0.4788696925682056,0.48891750031614317,Napa
ENSMUSG00000079557,0.48351955333698254,0.0,0.0,0.47847723139915205,0.4885299890617346,March2
ENSMUSG00000035112,0.48344149176869206,0.0,0.0,0.4783986756808171,0.48845242365070607,Wnk4
ENSMUSG00000037916,0.48284615964736916,0.0,0.0,0.4777995776071323,0.48786087283969887,Ndufv1
ENSMUSG00000043190,0.48282989971718987,0.0,0.0,0.47778321488573183,0.48784471612144326,Rfesd
ENSMUSG00000019982,0.48273843102718866,0.0,0.0,0.4776911680187528,0.48775382797626937,Myb
ENSMUSG00000056738,0.4818680820624579,0.0,0.0,0.47681532308969665,0.48688899761086724,A730036I17Rik
ENSMUSG00000042106,0.48019150306860625,0.0,0.0,0.47512818533493345,0.4852230215113879,Fam212a
ENSMUSG00000025728,0.4801847058998743,0.0,0.0,0.4751213454347574,0.4852162672544457,Pigq
ENSMUSG00000023915,0.4793748079308345,0.0,0.0,0.4743063602979734,0.48441147802370954,Tnfrsf21
ENSMUSG00000020029,0.47936647812325023,0.0,0.0,0.47429797821395875,0.4844032007152532,Nudt4
ENSMUSG00000024158,0.47624956064626606,0.0,0.0,0.4711615640068598,0.48130586450226664,Hagh
ENSMUSG00000070730,0.4761925459144425,0.0,0.0,0.47110419383863705,0.4812492067754382,Rmdn3
ENSMUSG00000024014,0.47614504940918373,0.0,0.0,0.4710564012675677,0.48120200764332954,Pim1
ENSMUSG00000062093,0.4755883442833757,0.0,0.0,0.47049622819043535,0.4806487858334715,Gm10110
ENSMUSG00000037434,0.47508534193931573,0.0,0.0,0.46999009596185026,0.480148927321865,Slc30a1
ENSMUSG00000022570,0.47503400423511233,0.0,0.0,0.46993843900207355,0.48009791030028826,Tsta3
ENSMUSG00000030762,0.4718317948195586,0.0,0.0,0.4667163848791725,0.47691563588012575,Aqp8
ENSMUSG00000028382,0.47152278682845744,0.0,0.0,0.4664054690900359,0.4766085445321601,Ptbp3
ENSMUSG00000052187,0.47046402890190603,0.0,0.0,0.4653401840393179,0.47555634421206383,Hbb-y
ENSMUSG00000018932,0.4697396194439459,0.0,0.0,0.46461131723052174,0.47483641311808034,Map2k3
ENSMUSG00000005687,0.4690779187533864,0.0,0.0,0.4639455511137898,0.4741787971590712,Bcas2
ENSMUSG00000034853,0.466458703442571,0.0,0.0,0.4613103004862574,0.47157569462095617,Acot11
ENSMUSG00000032411,0.4661735716528929,0.0,0.0,0.46102342854994677,0.47129231150979195,Tfdp2
ENSMUSG00000054814,0.4620959662033345,0.0,0.0,0.45692105542408745,0.46723959788447994,Usp46
ENSMUSG00000032590,0.4620661678434282,0.0,0.0,0.45689107687698144,0.46720998063366853,Apeh
ENSMUSG00000002102,0.46069416199246666,0.0,0.0,0.455510787398494,0.4658463010862852,Psmc3
ENSMUSG00000020334,0.4603548184883827,0.0,0.0,0.4551693989170656,0.46550901318390886,Slc22a4
ENSMUSG00000022253,0.45722364518384057,0.0,0.0,0.4520194282319319,0.4623967365815922,Nadk2
ENSMUSG00000030034,0.45611453882302017,0.0,0.0,0.45090369469960384,0.4612942931294409,Ino80b
ENSMUSG00000031659,0.4559743308072534,0.0,0.0,0.45076265006735694,0.4611549262685216,Adcy7
ENSMUSG00000086804,0.4559582053667206,0.0,0.0,0.4507464284235528,0.46113889755351845,Gm43154
ENSMUSG00000037685,0.45459445723484865,0.0,0.0,0.4493745567193278,0.45978331738333467,Atp8a1
ENSMUSG00000014859,0.4530928795942702,0.0,0.0,0.4478640629610533,0.4582907052410281,E2f4
ENSMUSG00000024155,0.45128362102368885,0.0,0.0,0.44604410096083513,0.4564922102996075,Meiob
ENSMUSG00000038843,0.4504241380556233,0.0,0.0,0.44517954854075675,0.4556378256486168,Gcnt1
ENSMUSG00000026348,0.44812772242448146,0.0,0.0,0.4428696360218827,0.4533549848704752,Acmsd
ENSMUSG00000029708,0.4477589880051008,0.0,0.0,0.44249874091705904,0.45298842376925597,Gcc1
ENSMUSG00000045509,0.4466778494635978,0.0,0.0,0.4414112775653246,0.45191364725855576,Gpr150
ENSMUSG00000028709,0.4454209562789559,0.0,0.0,0.4401470508286207,0.45066413123616156,Mob3c
ENSMUSG00000030722,0.4434781585602773,0.0,0.0,0.4381929586708097,0.448732696080056,Nfatc2ip
ENSMUSG00000038578,0.4421002752913631,0.0,0.0,0.4368070953660822,0.44736284168603335,Susd1
ENSMUSG00000005107,0.4415662103174601,0.0,0.0,0.4362699441020568,0.44683188204882035,Slc2a9
ENSMUSG00000002910,0.44140962117069815,0.0,0.0,0.43611245076316807,0.4466762026910189,Arrdc2
ENSMUSG00000027957,0.4412501529302314,0.0,0.0,0.4359520620393401,0.4465176606393961,Slc35a3
ENSMUSG00000028494,0.4412018514428832,0.0,0.0,0.435903481812315,0.44646963962100744,Plin2
ENSMUSG00000074361,0.4376755742108696,0.0,0.0,0.43235693843864675,0.4429637562100438,C5ar2
ENSMUSG00000005846,0.43578506399043127,0.0,0.0,0.43045563087753186,0.4410841129405348,Rsl1d1
ENSMUSG00000049539,0.4354062060822275,0.0,0.0,0.4300746148727351,0.44070742717565786,Hist1h1a
ENSMUSG00000036473,0.4336383331230662,0.0,0.0,0.42829669664955344,0.4389496654532985,Tbc1d24
ENSMUSG00000030089,0.4332517378702066,0.0,0.0,0.42790791022715124,0.43856527589014455,Slc41a3
ENSMUSG00000071068,0.4324481723749706,0.0,0.0,0.4270997965588103,0.43776628885614605,Treml2
ENSMUSG00000003813,0.43022668321873625,0.0,0.0,0.42486577825396,0.4355574133308177,Rad23a
ENSMUSG00000035949,0.4283799694292573,0.0,0.0,0.4230086987420846,0.4337211363282669,Fbxw2
ENSMUSG00000032285,0.4260570928640471,0.0,0.0,0.42067284779461966,0.4314113246042321,Dnaja4
ENSMUSG00000042744,0.42373669598420755,0.0,0.0,0.41833956165462316,0.4291039085321451,Gm15800
ENSMUSG00000005779,0.4220180752396361,0.0,0.0,0.4166114402916566,0.4273948569712532,Psmb4
ENSMUSG00000042426,0.421954757676529,0.0,0.0,0.4165477734523145,0.42733189122277904,Dhx29
ENSMUSG00000011257,0.41799824251158774,0.0,0.0,0.4125695383128001,0.42339725637633374,Pabpc4
ENSMUSG00000026069,0.4179754519863556,0.0,0.0,0.4125466232748763,0.42337459129723326,Il1rl1
ENSMUSG00000032026,0.4164801431880851,0.0,0.0,0.41104316009007064,0.4218874983741076,Rexo2
ENSMUSG00000030282,0.4154777476243257,0.0,0.0,0.4100353147086868,0.42089059411682916,Cmas
ENSMUSG00000032656,0.4145276462758802,0.0,0.0,0.4090800601242424,0.41994568552780775,March3
